Model,TBS1072C
-9.504e+00,-35.4
-9.488e+00,-34.6
-9.472e+00,-33.8
-9.456e+00,-33
-9.440e+00,-32.2
-9.424e+00,-31.4
-9.408e+00,-31.4
-9.392e+00,-29.8
-9.376e+00,-29
-9.360e+00,-27.4
-9.344e+00,-25.8
-9.328e+00,-25
-9.312e+00,-23.4
-9.296e+00,-21.8
-9.280e+00,-21
-9.264e+00,-18.6
-9.248e+00,-17.8
-9.232e+00,-16.2
-9.216e+00,-14.6
-9.200e+00,-13
-9.184e+00,-11.4
-9.168e+00,-9
-9.152e+00,-7.4
-9.136e+00,-5.8
-9.120e+00,-4.2
-9.104e+00,-1.8
-9.088e+00,-1
-9.072e+00,1.4
-9.056e+00,3
-9.040e+00,3.8
-9.024e+00,6.2
-9.008e+00,7.8
-8.992e+00,10.2
-8.976e+00,11
-8.960e+00,13.4
-8.944e+00,15
-8.928e+00,16.6
-8.912e+00,18.2
-8.896e+00,19.8
-8.880e+00,21.4
-8.864e+00,22.2
-8.848e+00,23
-8.832e+00,24.6
-8.816e+00,26.2
-8.800e+00,27
-8.784e+00,27.8
-8.768e+00,29.4
-8.752e+00,30.2
-8.736e+00,31
-8.720e+00,31
-8.704e+00,31.8
-8.688e+00,32.6
-8.672e+00,32.6
-8.656e+00,33.4
-8.640e+00,33.4
-8.624e+00,33.4
-8.608e+00,33.4
-8.592e+00,32.6
-8.576e+00,32.6
-8.560e+00,32.6
-8.544e+00,32.6
-8.528e+00,31.8
-8.512e+00,31
-8.496e+00,30.2
-8.480e+00,29.4
-8.464e+00,28.6
-8.448e+00,27.8
-8.432e+00,26.2
-8.416e+00,25.4
-8.400e+00,23.8
-8.384e+00,23
-8.368e+00,21.4
-8.352e+00,20.6
-8.336e+00,19
-8.320e+00,17.4
-8.304e+00,15.8
-8.288e+00,14.2
-8.272e+00,11.8
-8.256e+00,11
-8.240e+00,9.4
-8.224e+00,7.8
-8.208e+00,5.4
-8.192e+00,3.8
-8.176e+00,3
-8.160e+00,0.6
-8.144e+00,-1
-8.128e+00,-2.6
-8.112e+00,-4.2
-8.096e+00,-5.8
-8.080e+00,-7.4
-8.064e+00,-9
-8.048e+00,-11.4
-8.032e+00,-13
-8.016e+00,-13.8
-8.000e+00,-16.2
-7.984e+00,-17
-7.968e+00,-18.6
-7.952e+00,-21
-7.936e+00,-21.8
-7.920e+00,-23.4
-7.904e+00,-24.2
-7.888e+00,-25.8
-7.872e+00,-27.4
-7.856e+00,-28.2
-7.840e+00,-29
-7.824e+00,-30.6
-7.808e+00,-31.4
-7.792e+00,-32.2
-7.776e+00,-32.2
-7.760e+00,-33
-7.744e+00,-33.8
-7.728e+00,-33.8
-7.712e+00,-34.6
-7.696e+00,-34.6
-7.680e+00,-35.4
-7.664e+00,-34.6
-7.648e+00,-34.6
-7.632e+00,-34.6
-7.616e+00,-34.6
-7.600e+00,-34.6
-7.584e+00,-34.6
-7.568e+00,-33
-7.552e+00,-33
-7.536e+00,-32.2
-7.520e+00,-31.4
-7.504e+00,-30.6
-7.488e+00,-29.8
-7.472e+00,-29
-7.456e+00,-28.2
-7.440e+00,-26.6
-7.424e+00,-25.8
-7.408e+00,-24.2
-7.392e+00,-22.6
-7.376e+00,-21
-7.360e+00,-20.2
-7.344e+00,-18.6
-7.328e+00,-17
-7.312e+00,-15.4
-7.296e+00,-13.8
-7.280e+00,-12.2
-7.264e+00,-10.6
-7.248e+00,-8.2
-7.232e+00,-6.6
-7.216e+00,-5.8
-7.200e+00,-3.4
-7.184e+00,-2.6
-7.168e+00,-0.2
-7.152e+00,1.4
-7.136e+00,3
-7.120e+00,4.6
-7.104e+00,6.2
-7.088e+00,7.8
-7.072e+00,9.4
-7.056e+00,11
-7.040e+00,13.4
-7.024e+00,14.2
-7.008e+00,15.8
-6.992e+00,17.4
-6.976e+00,19
-6.960e+00,20.6
-6.944e+00,21.4
-6.928e+00,23
-6.912e+00,23.8
-6.896e+00,25.4
-6.880e+00,26.2
-6.864e+00,27
-6.848e+00,27.8
-6.832e+00,28.6
-6.816e+00,29.4
-6.800e+00,30.2
-6.784e+00,31
-6.768e+00,31.8
-6.752e+00,31.8
-6.736e+00,31.8
-6.720e+00,32.6
-6.704e+00,31.8
-6.688e+00,32.6
-6.672e+00,31.8
-6.656e+00,31.8
-6.640e+00,31.8
-6.624e+00,31
-6.608e+00,30.2
-6.592e+00,30.2
-6.576e+00,29.4
-6.560e+00,28.6
-6.544e+00,27.8
-6.528e+00,27
-6.512e+00,25.4
-6.496e+00,24.6
-6.480e+00,23.8
-6.464e+00,22.2
-6.448e+00,20.6
-6.432e+00,19.8
-6.416e+00,18.2
-6.400e+00,16.6
-6.384e+00,15
-6.368e+00,13.4
-6.352e+00,12.6
-6.336e+00,10.2
-6.320e+00,9.4
-6.304e+00,7
-6.288e+00,5.4
-6.272e+00,3.8
-6.256e+00,2.2
-6.240e+00,0.6
-6.224e+00,-1
-6.208e+00,-3.4
-6.192e+00,-4.2
-6.176e+00,-5.8
-6.160e+00,-7.4
-6.144e+00,-9
-6.128e+00,-10.6
-6.112e+00,-13
-6.096e+00,-13.8
-6.080e+00,-15.4
-6.064e+00,-17
-6.048e+00,-17.8
-6.032e+00,-20.2
-6.016e+00,-21
-6.000e+00,-23.4
-5.984e+00,-24.2
-5.968e+00,-25.8
-5.952e+00,-26.6
-5.936e+00,-27.4
-5.920e+00,-29
-5.904e+00,-29
-5.888e+00,-29.8
-5.872e+00,-30.6
-5.856e+00,-31.4
-5.840e+00,-32.2
-5.824e+00,-32.2
-5.808e+00,-33
-5.792e+00,-33
-5.776e+00,-33.8
-5.760e+00,-33.8
-5.744e+00,-33.8
-5.728e+00,-33.8
-5.712e+00,-33.8
-5.696e+00,-33.8
-5.680e+00,-33
-5.664e+00,-32.2
-5.648e+00,-32.2
-5.632e+00,-31.4
-5.616e+00,-30.6
-5.600e+00,-29.8
-5.584e+00,-29
-5.568e+00,-29
-5.552e+00,-27.4
-5.536e+00,-26.6
-5.520e+00,-25.8
-5.504e+00,-24.2
-5.488e+00,-22.6
-5.472e+00,-21.8
-5.456e+00,-20.2
-5.440e+00,-18.6
-5.424e+00,-17.8
-5.408e+00,-16.2
-5.392e+00,-14.6
-5.376e+00,-13
-5.360e+00,-11.4
-5.344e+00,-9.8
-5.328e+00,-8.2
-5.312e+00,-6.6
-5.296e+00,-5
-5.280e+00,-3.4
-5.264e+00,-1.8
-5.248e+00,-0.2
-5.232e+00,1.4
-5.216e+00,3
-5.200e+00,4.6
-5.184e+00,6.2
-5.168e+00,7.8
-5.152e+00,9.4
-5.136e+00,11
-5.120e+00,12.6
-5.104e+00,14.2
-5.088e+00,15.8
-5.072e+00,17.4
-5.056e+00,18.2
-5.040e+00,19.8
-5.024e+00,21.4
-5.008e+00,22.2
-4.992e+00,23
-4.976e+00,23.8
-4.960e+00,25.4
-4.944e+00,26.2
-4.928e+00,27
-4.912e+00,27.8
-4.896e+00,28.6
-4.880e+00,29.4
-4.864e+00,30.2
-4.848e+00,30.2
-4.832e+00,30.2
-4.816e+00,31
-4.800e+00,31
-4.784e+00,31.8
-4.768e+00,31
-4.752e+00,31
-4.736e+00,30.2
-4.720e+00,30.2
-4.704e+00,29.4
-4.688e+00,29.4
-4.672e+00,28.6
-4.656e+00,27.8
-4.640e+00,27.8
-4.624e+00,27
-4.608e+00,25.4
-4.592e+00,24.6
-4.576e+00,23
-4.560e+00,23
-4.544e+00,21.4
-4.528e+00,19.8
-4.512e+00,19
-4.496e+00,16.6
-4.480e+00,15.8
-4.464e+00,14.2
-4.448e+00,12.6
-4.432e+00,11.8
-4.416e+00,10.2
-4.400e+00,7.8
-4.384e+00,7
-4.368e+00,4.6
-4.352e+00,3
-4.336e+00,2.2
-4.320e+00,-0.2
-4.304e+00,-1
-4.288e+00,-2.6
-4.272e+00,-4.2
-4.256e+00,-5.8
-4.240e+00,-7.4
-4.224e+00,-9
-4.208e+00,-10.6
-4.192e+00,-12.2
-4.176e+00,-13.8
-4.160e+00,-15.4
-4.144e+00,-17
-4.128e+00,-17.8
-4.112e+00,-19.4
-4.096e+00,-20.2
-4.080e+00,-21.8
-4.064e+00,-23.4
-4.048e+00,-24.2
-4.032e+00,-25
-4.016e+00,-25.8
-4.000e+00,-28.2
-3.984e+00,-28.2
-3.968e+00,-29
-3.952e+00,-29.8
-3.936e+00,-29.8
-3.920e+00,-30.6
-3.904e+00,-31.4
-3.888e+00,-31.4
-3.872e+00,-32.2
-3.856e+00,-32.2
-3.840e+00,-32.2
-3.824e+00,-32.2
-3.808e+00,-32.2
-3.792e+00,-33
-3.776e+00,-32.2
-3.760e+00,-31.4
-3.744e+00,-31.4
-3.728e+00,-30.6
-3.712e+00,-30.6
-3.696e+00,-29.8
-3.680e+00,-29
-3.664e+00,-29
-3.648e+00,-27.4
-3.632e+00,-25.8
-3.616e+00,-25.8
-3.600e+00,-24.2
-3.584e+00,-23.4
-3.568e+00,-22.6
-3.552e+00,-20.2
-3.536e+00,-19.4
-3.520e+00,-17.8
-3.504e+00,-17
-3.488e+00,-15.4
-3.472e+00,-13.8
-3.456e+00,-12.2
-3.440e+00,-10.6
-3.424e+00,-9
-3.408e+00,-7.4
-3.392e+00,-5.8
-3.376e+00,-4.2
-3.360e+00,-2.6
-3.344e+00,-1
-3.328e+00,-0.2
-3.312e+00,2.2
-3.296e+00,3
-3.280e+00,4.6
-3.264e+00,6.2
-3.248e+00,7.8
-3.232e+00,9.4
-3.216e+00,11
-3.200e+00,12.6
-3.184e+00,14.2
-3.168e+00,14.2
-3.152e+00,17.4
-3.136e+00,18.2
-3.120e+00,19
-3.104e+00,20.6
-3.088e+00,21.4
-3.072e+00,23
-3.056e+00,23.8
-3.040e+00,24.6
-3.024e+00,25.4
-3.008e+00,26.2
-2.992e+00,27.8
-2.976e+00,27.8
-2.960e+00,28.6
-2.944e+00,29.4
-2.928e+00,29.4
-2.912e+00,29.4
-2.896e+00,29.4
-2.880e+00,30.2
-2.864e+00,30.2
-2.848e+00,30.2
-2.832e+00,30.2
-2.816e+00,29.4
-2.800e+00,29.4
-2.784e+00,29.4
-2.768e+00,27.8
-2.752e+00,27.8
-2.736e+00,27
-2.720e+00,26.2
-2.704e+00,25.4
-2.688e+00,24.6
-2.672e+00,23.8
-2.656e+00,22.2
-2.640e+00,21.4
-2.624e+00,20.6
-2.608e+00,19
-2.592e+00,17.4
-2.576e+00,16.6
-2.560e+00,15
-2.544e+00,14.2
-2.528e+00,12.6
-2.512e+00,10.2
-2.496e+00,9.4
-2.480e+00,7
-2.464e+00,6.2
-2.448e+00,4.6
-2.432e+00,3
-2.416e+00,1.4
-2.400e+00,0.6
-2.384e+00,-1.8
-2.368e+00,-2.6
-2.352e+00,-4.2
-2.336e+00,-5.8
-2.320e+00,-7.4
-2.304e+00,-9
-2.288e+00,-10.6
-2.272e+00,-12.2
-2.256e+00,-13.8
-2.240e+00,-14.6
-2.224e+00,-16.2
-2.208e+00,-17.8
-2.192e+00,-18.6
-2.176e+00,-20.2
-2.160e+00,-21.8
-2.144e+00,-22.6
-2.128e+00,-24.2
-2.112e+00,-25
-2.096e+00,-25.8
-2.080e+00,-26.6
-2.064e+00,-27.4
-2.048e+00,-28.2
-2.032e+00,-29
-2.016e+00,-29.8
-2.000e+00,-29.8
-1.984e+00,-29.8
-1.968e+00,-30.6
-1.952e+00,-31.4
-1.936e+00,-31.4
-1.920e+00,-31.4
-1.904e+00,-31.4
-1.888e+00,-31.4
-1.872e+00,-31.4
-1.856e+00,-30.6
-1.840e+00,-30.6
-1.824e+00,-30.6
-1.808e+00,-29.8
-1.792e+00,-29
-1.776e+00,-28.2
-1.760e+00,-28.2
-1.744e+00,-27.4
-1.728e+00,-25.8
-1.712e+00,-25
-1.696e+00,-24.2
-1.680e+00,-22.6
-1.664e+00,-21.8
-1.648e+00,-21
-1.632e+00,-19.4
-1.616e+00,-18.6
-1.600e+00,-17
-1.584e+00,-16.2
-1.568e+00,-14.6
-1.552e+00,-13
-1.536e+00,-11.4
-1.520e+00,-9.8
-1.504e+00,-8.2
-1.488e+00,-6.6
-1.472e+00,-5
-1.456e+00,-4.2
-1.440e+00,-2.6
-1.424e+00,-1
-1.408e+00,0.6
-1.392e+00,2.2
-1.376e+00,3
-1.360e+00,4.6
-1.344e+00,6.2
-1.328e+00,7.8
-1.312e+00,9.4
-1.296e+00,11
-1.280e+00,12.6
-1.264e+00,14.2
-1.248e+00,15
-1.232e+00,16.6
-1.216e+00,18.2
-1.200e+00,19
-1.184e+00,19.8
-1.168e+00,21.4
-1.152e+00,22.2
-1.136e+00,23
-1.120e+00,23.8
-1.104e+00,24.6
-1.088e+00,26.2
-1.072e+00,26.2
-1.056e+00,27
-1.040e+00,27.8
-1.024e+00,27.8
-1.008e+00,28.6
-9.920e-01,28.6
-9.760e-01,28.6
-9.600e-01,29.4
-9.440e-01,29.4
-9.280e-01,29.4
-9.120e-01,28.6
-8.960e-01,28.6
-8.800e-01,28.6
-8.640e-01,27.8
-8.480e-01,27.8
-8.320e-01,26.2
-8.160e-01,26.2
-8.000e-01,25.4
-7.840e-01,23.8
-7.680e-01,23.8
-7.520e-01,22.2
-7.360e-01,21.4
-7.200e-01,20.6
-7.040e-01,19.8
-6.880e-01,18.2
-6.720e-01,16.6
-6.560e-01,15.8
-6.400e-01,14.2
-6.240e-01,12.6
-6.080e-01,11
-5.920e-01,10.2
-5.760e-01,8.6
-5.600e-01,7
-5.440e-01,5.4
-5.280e-01,3.8
-5.120e-01,2.2
-4.960e-01,1.4
-4.800e-01,-0.2
-4.640e-01,-1.8
-4.480e-01,-3.4
-4.320e-01,-4.2
-4.160e-01,-5.8
-4.000e-01,-7.4
-3.840e-01,-9
-3.680e-01,-10.6
-3.520e-01,-12.2
-3.360e-01,-13.8
-3.200e-01,-14.6
-3.040e-01,-15.4
-2.880e-01,-17.8
-2.720e-01,-18.6
-2.560e-01,-19.4
-2.400e-01,-21
-2.240e-01,-21.8
-2.080e-01,-23.4
-1.920e-01,-24.2
-1.760e-01,-25
-1.600e-01,-25.8
-1.440e-01,-26.6
-1.280e-01,-27.4
-1.120e-01,-28.2
-9.600e-02,-29
-8.000e-02,-29
-6.400e-02,-29.8
-4.800e-02,-29.8
-3.200e-02,-29.8
-1.600e-02,-29.8
1.410e-14,-29.8
1.600e-02,-30.6
3.200e-02,-29.8
4.800e-02,-29.8
6.400e-02,-29.8
8.000e-02,-29
9.600e-02,-29
1.120e-01,-29
1.280e-01,-28.2
1.440e-01,-28.2
1.600e-01,-26.6
1.760e-01,-25.8
1.920e-01,-25
2.080e-01,-24.2
2.240e-01,-24.2
2.400e-01,-21.8
2.560e-01,-21
2.720e-01,-20.2
2.880e-01,-19.4
3.040e-01,-17
3.200e-01,-16.2
3.360e-01,-14.6
3.520e-01,-13.8
3.680e-01,-12.2
3.840e-01,-10.6
4.000e-01,-9
4.160e-01,-8.2
4.320e-01,-5.8
4.480e-01,-4.2
4.640e-01,-3.4
4.800e-01,-1.8
4.960e-01,-0.2
5.120e-01,1.4
5.280e-01,2.2
5.440e-01,3.8
5.600e-01,5.4
5.760e-01,7
5.920e-01,7.8
6.080e-01,9.4
6.240e-01,11
6.400e-01,12.6
6.560e-01,14.2
6.720e-01,15
6.880e-01,16.6
7.040e-01,17.4
7.200e-01,19
7.360e-01,19.8
7.520e-01,19.8
7.680e-01,22.2
7.840e-01,22.2
8.000e-01,23
8.160e-01,24.6
8.320e-01,24.6
8.480e-01,25.4
8.640e-01,26.2
8.800e-01,27
8.960e-01,27.8
9.120e-01,27
9.280e-01,27.8
9.440e-01,27.8
9.600e-01,27.8
9.760e-01,27.8
9.920e-01,27.8
1.008e+00,27.8
1.024e+00,27
1.040e+00,27
1.056e+00,26.2
1.072e+00,25.4
1.088e+00,24.6
1.104e+00,24.6
1.120e+00,23.8
1.136e+00,23
1.152e+00,22.2
1.168e+00,21.4
1.184e+00,20.6
1.200e+00,19.8
1.216e+00,18.2
1.232e+00,17.4
1.248e+00,15.8
1.264e+00,14.2
1.280e+00,13.4
1.296e+00,11.8
1.312e+00,11
1.328e+00,9.4
1.344e+00,7.8
1.360e+00,6.2
1.376e+00,4.6
1.392e+00,3
1.408e+00,2.2
1.424e+00,0.6
1.440e+00,-1
1.456e+00,-1.8
1.472e+00,-3.4
1.488e+00,-5
1.504e+00,-6.6
1.520e+00,-8.2
1.536e+00,-9
1.552e+00,-10.6
1.568e+00,-12.2
1.584e+00,-13
1.600e+00,-14.6
1.616e+00,-16.2
1.632e+00,-17
1.648e+00,-18.6
1.664e+00,-19.4
1.680e+00,-21
1.696e+00,-21.8
1.712e+00,-22.6
1.728e+00,-24.2
1.744e+00,-24.2
1.760e+00,-25
1.776e+00,-25.8
1.792e+00,-26.6
1.808e+00,-27.4
1.824e+00,-27.4
1.840e+00,-28.2
1.856e+00,-28.2
1.872e+00,-29
1.888e+00,-29
1.904e+00,-29
1.920e+00,-29
1.936e+00,-29
1.952e+00,-29
1.968e+00,-29
1.984e+00,-29
2.000e+00,-28.2
2.016e+00,-28.2
2.032e+00,-27.4
2.048e+00,-26.6
2.064e+00,-25.8
2.080e+00,-25.8
2.096e+00,-25
2.112e+00,-24.2
2.128e+00,-22.6
2.144e+00,-21.8
2.160e+00,-21
2.176e+00,-20.2
2.192e+00,-18.6
2.208e+00,-17.8
2.224e+00,-16.2
2.240e+00,-15.4
2.256e+00,-13.8
2.272e+00,-12.2
2.288e+00,-11.4
2.304e+00,-9.8
2.320e+00,-8.2
2.336e+00,-6.6
2.352e+00,-5.8
2.368e+00,-4.2
2.384e+00,-2.6
2.400e+00,-1.8
2.416e+00,-0.2
2.432e+00,1.4
2.448e+00,3
2.464e+00,4.6
2.480e+00,5.4
2.496e+00,6.2
